water: 	 29.0125:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=17, tm_min=48, tm_sec=52, tm_wday=2, tm_yday=101, tm_isdst=1) 
water: 	 29.0115:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=9, tm_min=6, tm_sec=49, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0113:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=11, tm_min=37, tm_sec=55, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0113:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=11, tm_min=38, tm_sec=21, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0113:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=11, tm_min=38, tm_sec=46, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0111:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=14, tm_min=10, tm_sec=7, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0112:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=14, tm_min=10, tm_sec=33, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0111:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=14, tm_min=10, tm_sec=59, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0111:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=16, tm_min=42, tm_sec=0, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0111:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=16, tm_min=42, tm_sec=26, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0111:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=16, tm_min=42, tm_sec=52, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0112:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=19, tm_min=13, tm_sec=49, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0112:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=19, tm_min=14, tm_sec=14, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0112:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=19, tm_min=14, tm_sec=40, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0108:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=21, tm_min=45, tm_sec=43, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0109:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=21, tm_min=46, tm_sec=9, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0109:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=21, tm_min=46, tm_sec=34, tm_wday=3, tm_yday=102, tm_isdst=1) 
water: 	 29.0108:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=0, tm_min=17, tm_sec=39, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0108:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=0, tm_min=18, tm_sec=5, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0108:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=0, tm_min=18, tm_sec=31, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0104:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=2, tm_min=49, tm_sec=52, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0103:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=2, tm_min=50, tm_sec=18, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0104:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=2, tm_min=50, tm_sec=44, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0102:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=5, tm_min=22, tm_sec=0, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0102:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=5, tm_min=22, tm_sec=26, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0104:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=5, tm_min=22, tm_sec=52, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0102:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=7, tm_min=53, tm_sec=52, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0101:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=7, tm_min=54, tm_sec=17, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0102:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=7, tm_min=54, tm_sec=43, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0101:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=10, tm_min=26, tm_sec=3, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0101:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=10, tm_min=26, tm_sec=29, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0101:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=10, tm_min=26, tm_sec=55, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0101:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=12, tm_min=58, tm_sec=10, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0100:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=12, tm_min=58, tm_sec=36, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0100:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=12, tm_min=59, tm_sec=2, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0093:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=15, tm_min=30, tm_sec=11, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0092:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=15, tm_min=30, tm_sec=37, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0093:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=15, tm_min=31, tm_sec=3, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0095:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=18, tm_min=2, tm_sec=21, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0095:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=18, tm_min=2, tm_sec=47, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0095:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=18, tm_min=3, tm_sec=13, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0094:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=20, tm_min=34, tm_sec=26, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0094:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=20, tm_min=34, tm_sec=52, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0094:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=20, tm_min=35, tm_sec=18, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0091:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=23, tm_min=6, tm_sec=29, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0091:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=23, tm_min=6, tm_sec=54, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0091:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=23, tm_min=7, tm_sec=20, tm_wday=4, tm_yday=103, tm_isdst=1) 
water: 	 29.0090:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=1, tm_min=38, tm_sec=21, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0092:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=1, tm_min=38, tm_sec=47, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0091:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=1, tm_min=39, tm_sec=13, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0097:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=4, tm_min=10, tm_sec=18, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0097:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=4, tm_min=10, tm_sec=44, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0097:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=4, tm_min=11, tm_sec=10, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0088:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=6, tm_min=42, tm_sec=26, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0088:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=6, tm_min=42, tm_sec=52, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0089:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=6, tm_min=43, tm_sec=17, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0090:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=9, tm_min=14, tm_sec=25, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0090:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=9, tm_min=14, tm_sec=51, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0090:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=9, tm_min=15, tm_sec=17, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0087:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=11, tm_min=46, tm_sec=13, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0087:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=11, tm_min=46, tm_sec=39, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0087:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=11, tm_min=47, tm_sec=4, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0089:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=14, tm_min=18, tm_sec=9, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0088:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=14, tm_min=18, tm_sec=35, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0088:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=14, tm_min=19, tm_sec=1, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0086:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=16, tm_min=50, tm_sec=14, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0086:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=16, tm_min=50, tm_sec=40, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0087:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=16, tm_min=51, tm_sec=6, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0084:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=19, tm_min=22, tm_sec=34, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0084:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=19, tm_min=23, tm_sec=0, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0084:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=19, tm_min=23, tm_sec=26, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0081:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=21, tm_min=54, tm_sec=28, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0081:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=21, tm_min=54, tm_sec=54, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0081:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=21, tm_min=55, tm_sec=19, tm_wday=5, tm_yday=104, tm_isdst=1) 
water: 	 29.0077:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=0, tm_min=26, tm_sec=24, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0077:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=0, tm_min=26, tm_sec=49, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0077:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=0, tm_min=27, tm_sec=15, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0076:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=2, tm_min=58, tm_sec=24, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0077:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=2, tm_min=58, tm_sec=50, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0077:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=2, tm_min=59, tm_sec=15, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0076:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=5, tm_min=30, tm_sec=45, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0076:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=5, tm_min=31, tm_sec=11, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0076:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=5, tm_min=31, tm_sec=36, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0075:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=8, tm_min=2, tm_sec=47, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0075:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=8, tm_min=3, tm_sec=12, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0075:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=8, tm_min=3, tm_sec=38, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0070:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=10, tm_min=34, tm_sec=57, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0070:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=10, tm_min=35, tm_sec=22, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0070:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=10, tm_min=35, tm_sec=48, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0064:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=13, tm_min=7, tm_sec=9, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0065:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=13, tm_min=7, tm_sec=35, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0065:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=13, tm_min=8, tm_sec=0, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0062:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=15, tm_min=39, tm_sec=8, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0062:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=15, tm_min=39, tm_sec=33, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0062:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=15, tm_min=39, tm_sec=59, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0059:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=18, tm_min=11, tm_sec=7, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0059:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=18, tm_min=11, tm_sec=33, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0059:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=18, tm_min=11, tm_sec=59, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0057:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=43, tm_sec=2, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0058:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=43, tm_sec=27, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0057:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=43, tm_sec=53, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0058:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=23, tm_min=15, tm_sec=12, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0058:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=23, tm_min=15, tm_sec=38, tm_wday=6, tm_yday=105, tm_isdst=1) 
water: 	 29.0058:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=23, tm_min=16, tm_sec=4, tm_wday=6, tm_yday=105, tm_isdst=1) 
