water: 	 27.9720:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=15, tm_min=55, tm_sec=10, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 27.9738:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=2, tm_sec=59, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9738:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=3, tm_sec=25, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9739:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=4, tm_min=34, tm_sec=26, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9739:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=4, tm_min=34, tm_sec=52, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9739:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=4, tm_min=35, tm_sec=18, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9742:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=7, tm_min=6, tm_sec=33, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9742:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=7, tm_min=6, tm_sec=59, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9742:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=7, tm_min=7, tm_sec=24, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9743:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=9, tm_min=38, tm_sec=20, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9743:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=9, tm_min=38, tm_sec=46, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9743:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=9, tm_min=39, tm_sec=11, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9732:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=12, tm_min=10, tm_sec=21, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9733:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=12, tm_min=10, tm_sec=47, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9733:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=12, tm_min=11, tm_sec=12, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9733:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=14, tm_min=42, tm_sec=17, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9733:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=14, tm_min=42, tm_sec=43, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9733:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=14, tm_min=43, tm_sec=8, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9730:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=17, tm_min=14, tm_sec=9, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9730:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=17, tm_min=14, tm_sec=35, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9730:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=17, tm_min=15, tm_sec=1, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9725:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=19, tm_min=45, tm_sec=56, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9726:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=19, tm_min=46, tm_sec=22, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9726:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=19, tm_min=46, tm_sec=47, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9724:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=22, tm_min=17, tm_sec=32, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9724:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=22, tm_min=17, tm_sec=58, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9724:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=22, tm_min=18, tm_sec=24, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 27.9717:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=0, tm_min=49, tm_sec=25, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9717:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=0, tm_min=49, tm_sec=51, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9717:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=0, tm_min=50, tm_sec=16, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9713:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=3, tm_min=21, tm_sec=11, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9713:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=3, tm_min=21, tm_sec=36, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9714:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=3, tm_min=22, tm_sec=2, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9710:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=5, tm_min=52, tm_sec=51, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9710:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=5, tm_min=53, tm_sec=17, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9710:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=5, tm_min=53, tm_sec=43, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9708:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=8, tm_min=24, tm_sec=32, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9708:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=8, tm_min=24, tm_sec=58, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9708:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=8, tm_min=25, tm_sec=24, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9702:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=10, tm_min=56, tm_sec=20, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9702:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=10, tm_min=56, tm_sec=46, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9702:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=10, tm_min=57, tm_sec=12, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9697:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=13, tm_min=28, tm_sec=17, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9697:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=13, tm_min=28, tm_sec=43, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9697:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=13, tm_min=29, tm_sec=9, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9695:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=16, tm_min=0, tm_sec=8, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9695:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=16, tm_min=0, tm_sec=34, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9695:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=16, tm_min=0, tm_sec=59, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9696:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=18, tm_min=32, tm_sec=2, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9696:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=18, tm_min=32, tm_sec=28, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9696:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=18, tm_min=32, tm_sec=53, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9703:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=21, tm_min=3, tm_sec=51, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9703:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=21, tm_min=4, tm_sec=17, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9703:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=21, tm_min=4, tm_sec=42, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9705:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=23, tm_min=35, tm_sec=33, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9706:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=23, tm_min=35, tm_sec=58, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9706:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=23, tm_min=36, tm_sec=24, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 27.9707:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=2, tm_min=7, tm_sec=21, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9707:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=2, tm_min=7, tm_sec=47, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9707:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=2, tm_min=8, tm_sec=12, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9707:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=4, tm_min=39, tm_sec=0, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9707:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=4, tm_min=39, tm_sec=26, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9707:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=4, tm_min=39, tm_sec=51, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9702:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=7, tm_min=10, tm_sec=48, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9702:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=7, tm_min=11, tm_sec=14, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9702:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=7, tm_min=11, tm_sec=39, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9700:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=9, tm_min=42, tm_sec=26, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9700:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=9, tm_min=42, tm_sec=52, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9700:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=9, tm_min=43, tm_sec=18, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9699:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=12, tm_min=14, tm_sec=6, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9699:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=12, tm_min=14, tm_sec=32, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9699:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=12, tm_min=14, tm_sec=58, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9699:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=14, tm_min=45, tm_sec=57, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9700:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=14, tm_min=46, tm_sec=23, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9700:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=14, tm_min=46, tm_sec=49, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9702:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=17, tm_min=17, tm_sec=43, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9702:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=17, tm_min=18, tm_sec=9, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9702:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=17, tm_min=18, tm_sec=34, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9703:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=19, tm_min=49, tm_sec=35, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9704:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=19, tm_min=50, tm_sec=1, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9704:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=19, tm_min=50, tm_sec=26, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9708:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=22, tm_min=21, tm_sec=21, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9708:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=22, tm_min=21, tm_sec=47, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9708:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=22, tm_min=22, tm_sec=13, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 27.9708:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=53, tm_sec=9, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 27.9708:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=53, tm_sec=34, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 27.9708:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=54, tm_sec=0, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=2, tm_min=52, tm_sec=56, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=2, tm_min=53, tm_sec=22, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=2, tm_min=53, tm_sec=47, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=4, tm_min=49, tm_sec=41, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=4, tm_min=50, tm_sec=7, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=4, tm_min=50, tm_sec=32, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0001:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=6, tm_min=46, tm_sec=6, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0001:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=6, tm_min=46, tm_sec=32, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0001:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=6, tm_min=46, tm_sec=58, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0001:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=8, tm_min=42, tm_sec=32, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0001:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=8, tm_min=42, tm_sec=58, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0001:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=8, tm_min=43, tm_sec=24, tm_wday=0, tm_yday=113, tm_isdst=1) 
