water: 	 28.9663:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=16, tm_min=10, tm_sec=8, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 28.9657:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=3, tm_min=36, tm_sec=58, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9653:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=6, tm_min=7, tm_sec=47, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9653:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=6, tm_min=8, tm_sec=13, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9653:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=6, tm_min=8, tm_sec=38, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9651:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=8, tm_min=39, tm_sec=28, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9652:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=8, tm_min=39, tm_sec=54, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9652:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=8, tm_min=40, tm_sec=20, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9645:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=11, tm_min=11, tm_sec=24, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9645:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=11, tm_min=11, tm_sec=50, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9645:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=11, tm_min=12, tm_sec=15, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9640:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=13, tm_min=43, tm_sec=14, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9640:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=13, tm_min=43, tm_sec=40, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9640:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=13, tm_min=44, tm_sec=6, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9639:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=16, tm_min=15, tm_sec=3, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9639:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=16, tm_min=15, tm_sec=29, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9639:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=16, tm_min=15, tm_sec=54, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9641:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=18, tm_min=46, tm_sec=57, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9641:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=18, tm_min=47, tm_sec=23, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9641:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=18, tm_min=47, tm_sec=49, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9646:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=21, tm_min=18, tm_sec=46, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9646:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=21, tm_min=19, tm_sec=12, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9646:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=21, tm_min=19, tm_sec=38, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9650:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=23, tm_min=50, tm_sec=35, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9650:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=23, tm_min=51, tm_sec=1, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9650:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=23, tm_min=51, tm_sec=27, tm_wday=5, tm_yday=111, tm_isdst=1) 
water: 	 28.9650:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=2, tm_min=22, tm_sec=18, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9651:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=2, tm_min=22, tm_sec=44, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9650:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=2, tm_min=23, tm_sec=10, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9649:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=4, tm_min=53, tm_sec=56, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9649:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=4, tm_min=54, tm_sec=22, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9649:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=4, tm_min=54, tm_sec=48, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9647:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=7, tm_min=25, tm_sec=43, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9647:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=7, tm_min=26, tm_sec=9, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9647:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=7, tm_min=26, tm_sec=34, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9644:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=9, tm_min=57, tm_sec=20, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9645:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=9, tm_min=57, tm_sec=46, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9645:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=9, tm_min=58, tm_sec=12, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9643:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=12, tm_min=29, tm_sec=2, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9643:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=12, tm_min=29, tm_sec=28, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9643:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=12, tm_min=29, tm_sec=54, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9643:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=15, tm_min=0, tm_sec=52, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9643:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=15, tm_min=1, tm_sec=18, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9643:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=15, tm_min=1, tm_sec=43, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9646:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=17, tm_min=32, tm_sec=37, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9646:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=17, tm_min=33, tm_sec=3, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9646:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=17, tm_min=33, tm_sec=28, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9647:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=20, tm_min=4, tm_sec=30, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9647:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=20, tm_min=4, tm_sec=56, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9647:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=20, tm_min=5, tm_sec=22, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9649:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=22, tm_min=36, tm_sec=19, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9650:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=22, tm_min=36, tm_sec=45, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 28.9650:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=22, tm_min=37, tm_sec=10, tm_wday=6, tm_yday=112, tm_isdst=1) 
water: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=1, tm_min=5, tm_sec=41, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=1, tm_min=6, tm_sec=7, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=1, tm_min=6, tm_sec=33, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=3, tm_min=2, tm_sec=27, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=3, tm_min=2, tm_sec=52, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=3, tm_min=3, tm_sec=18, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=4, tm_min=59, tm_sec=3, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0001:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=4, tm_min=59, tm_sec=29, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0001:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=4, tm_min=59, tm_sec=55, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0001:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=6, tm_min=55, tm_sec=30, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0001:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=6, tm_min=55, tm_sec=55, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0001:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=6, tm_min=56, tm_sec=21, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=8, tm_min=51, tm_sec=51, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=8, tm_min=52, tm_sec=17, tm_wday=0, tm_yday=113, tm_isdst=1) 
water: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=22, tm_hour=8, tm_min=52, tm_sec=43, tm_wday=0, tm_yday=113, tm_isdst=1) 
