water_chemspeed_2: 	 28.4829:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=9, tm_min=38, tm_sec=19, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chemspeed_2: 	 28.4495:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=2, tm_min=26, tm_sec=49, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chemspeed_2: 	 28.4495:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=2, tm_min=27, tm_sec=15, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chemspeed_2: 	 28.4495:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=2, tm_min=27, tm_sec=41, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chemspeed_2: 	 28.4493:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=4, tm_min=59, tm_sec=10, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chemspeed_2: 	 28.4493:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=4, tm_min=59, tm_sec=36, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chemspeed_2: 	 28.4493:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=5, tm_min=0, tm_sec=1, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chemspeed_2: 	 28.4494:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=7, tm_min=31, tm_sec=14, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chemspeed_2: 	 28.4494:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=7, tm_min=31, tm_sec=39, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chemspeed_2: 	 28.4494:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=7, tm_min=32, tm_sec=5, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chemspeed_2: 	 28.4489:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=10, tm_min=3, tm_sec=38, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chemspeed_2: 	 28.4489:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=10, tm_min=4, tm_sec=4, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chemspeed_2: 	 28.4489:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=10, tm_min=4, tm_sec=30, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chemspeed_2: 	 28.4488:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=12, tm_min=36, tm_sec=6, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chemspeed_2: 	 28.4488:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=12, tm_min=36, tm_sec=32, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chemspeed_2: 	 28.4488:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=12, tm_min=36, tm_sec=58, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chemspeed_2: 	 28.4484:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=15, tm_min=8, tm_sec=20, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chemspeed_2: 	 28.4485:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=15, tm_min=8, tm_sec=45, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chemspeed_2: 	 28.4485:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=15, tm_min=9, tm_sec=11, tm_wday=4, tm_yday=271, tm_isdst=1) 
