water_chempseed_2: 	 28.3205:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=9, tm_min=15, tm_sec=43, tm_wday=2, tm_yday=269, tm_isdst=1) 
water_chempseed_2: 	 28.3208:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=4, tm_min=14, tm_sec=23, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3208:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=4, tm_min=14, tm_sec=49, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3210:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=6, tm_min=46, tm_sec=8, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3210:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=6, tm_min=46, tm_sec=34, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3210:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=6, tm_min=47, tm_sec=0, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3207:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=9, tm_min=18, tm_sec=9, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3207:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=9, tm_min=18, tm_sec=35, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3207:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=9, tm_min=19, tm_sec=1, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3211:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=11, tm_min=50, tm_sec=14, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3211:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=11, tm_min=50, tm_sec=40, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3211:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=11, tm_min=51, tm_sec=5, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3208:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=14, tm_min=22, tm_sec=8, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3208:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=14, tm_min=22, tm_sec=33, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3209:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=14, tm_min=22, tm_sec=59, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3206:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=15, tm_min=42, tm_sec=13, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3206:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=15, tm_min=42, tm_sec=39, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3206:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=15, tm_min=43, tm_sec=4, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3209:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=15, tm_min=55, tm_sec=31, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3209:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=15, tm_min=55, tm_sec=57, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3209:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=15, tm_min=56, tm_sec=23, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3206:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=18, tm_min=27, tm_sec=43, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3206:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=18, tm_min=28, tm_sec=9, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3206:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=18, tm_min=28, tm_sec=35, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3204:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=20, tm_min=59, tm_sec=48, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3205:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=21, tm_min=0, tm_sec=14, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3205:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=21, tm_min=0, tm_sec=39, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3206:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=23, tm_min=31, tm_sec=54, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3206:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=23, tm_min=32, tm_sec=19, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3206:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=23, tm_min=32, tm_sec=45, tm_wday=3, tm_yday=270, tm_isdst=1) 
water_chempseed_2: 	 28.3204:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=2, tm_min=4, tm_sec=8, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chempseed_2: 	 28.3204:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=2, tm_min=4, tm_sec=34, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chempseed_2: 	 28.3204:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=2, tm_min=5, tm_sec=0, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chempseed_2: 	 28.3201:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=4, tm_min=36, tm_sec=30, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chempseed_2: 	 28.3201:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=4, tm_min=36, tm_sec=56, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chempseed_2: 	 28.3201:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=4, tm_min=37, tm_sec=22, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chempseed_2: 	 28.3202:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=7, tm_min=8, tm_sec=35, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chempseed_2: 	 28.3202:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=7, tm_min=9, tm_sec=1, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chempseed_2: 	 28.3202:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=7, tm_min=9, tm_sec=27, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chempseed_2: 	 28.3199:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=9, tm_min=41, tm_sec=1, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chempseed_2: 	 28.3199:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=9, tm_min=41, tm_sec=27, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chempseed_2: 	 28.3199:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=9, tm_min=41, tm_sec=52, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chempseed_2: 	 28.3201:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=12, tm_min=13, tm_sec=21, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chempseed_2: 	 28.3201:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=12, tm_min=13, tm_sec=47, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chempseed_2: 	 28.3201:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=12, tm_min=14, tm_sec=13, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chempseed_2: 	 28.3201:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=14, tm_min=45, tm_sec=41, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chempseed_2: 	 28.3201:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=14, tm_min=46, tm_sec=7, tm_wday=4, tm_yday=271, tm_isdst=1) 
water_chempseed_2: 	 28.3201:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=14, tm_min=46, tm_sec=33, tm_wday=4, tm_yday=271, tm_isdst=1) 
