water_chempseed: 	 28.0898:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=15, tm_min=29, tm_sec=17, tm_wday=4, tm_yday=166, tm_isdst=1) 
water_chempseed: 	 28.0879:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=23, tm_min=10, tm_sec=18, tm_wday=4, tm_yday=166, tm_isdst=1) 
water_chempseed: 	 28.0879:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=0, tm_min=41, tm_sec=31, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 28.0879:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=0, tm_min=41, tm_sec=57, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 28.0879:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=0, tm_min=42, tm_sec=22, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 28.0880:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=2, tm_min=13, tm_sec=32, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 28.0880:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=2, tm_min=13, tm_sec=58, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 28.0880:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=2, tm_min=14, tm_sec=24, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 28.0881:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=3, tm_min=45, tm_sec=38, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 28.0881:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=3, tm_min=46, tm_sec=3, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 28.0881:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=3, tm_min=46, tm_sec=29, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 28.0882:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=5, tm_min=17, tm_sec=41, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 28.0882:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=5, tm_min=18, tm_sec=7, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 28.0882:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=5, tm_min=18, tm_sec=33, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 28.0883:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=6, tm_min=49, tm_sec=47, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 28.0883:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=6, tm_min=50, tm_sec=13, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 28.0883:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=6, tm_min=50, tm_sec=39, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 28.0883:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=8, tm_min=21, tm_sec=50, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 28.0883:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=8, tm_min=22, tm_sec=16, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 28.0883:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=8, tm_min=22, tm_sec=42, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 28.0882:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=9, tm_min=54, tm_sec=12, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 28.0882:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=9, tm_min=54, tm_sec=38, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 28.0883:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=9, tm_min=55, tm_sec=3, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0006:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=11, tm_min=6, tm_sec=41, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0006:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=11, tm_min=7, tm_sec=7, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0006:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=11, tm_min=7, tm_sec=33, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0005:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=12, tm_min=17, tm_sec=22, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0005:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=12, tm_min=17, tm_sec=47, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0005:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=12, tm_min=18, tm_sec=13, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0006:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=13, tm_min=28, tm_sec=0, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0005:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=13, tm_min=28, tm_sec=26, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0005:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=13, tm_min=28, tm_sec=52, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0006:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=14, tm_min=38, tm_sec=35, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0006:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=14, tm_min=39, tm_sec=1, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0006:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=14, tm_min=39, tm_sec=26, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0008:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=15, tm_min=49, tm_sec=11, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0007:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=15, tm_min=49, tm_sec=37, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0008:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=15, tm_min=50, tm_sec=2, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=16, tm_min=59, tm_sec=48, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=17, tm_min=0, tm_sec=14, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=17, tm_min=0, tm_sec=39, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0010:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=18, tm_min=10, tm_sec=38, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0010:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=18, tm_min=11, tm_sec=4, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0010:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=18, tm_min=11, tm_sec=29, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0010:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=19, tm_min=20, tm_sec=50, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=19, tm_min=21, tm_sec=16, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=19, tm_min=21, tm_sec=41, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=20, tm_min=31, tm_sec=27, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=20, tm_min=31, tm_sec=53, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=20, tm_min=32, tm_sec=19, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=21, tm_min=42, tm_sec=22, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=21, tm_min=42, tm_sec=48, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=21, tm_min=43, tm_sec=14, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=22, tm_min=53, tm_sec=10, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=22, tm_min=53, tm_sec=36, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=22, tm_min=54, tm_sec=2, tm_wday=5, tm_yday=167, tm_isdst=1) 
water_chempseed: 	 -0.0007:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=0, tm_min=3, tm_sec=50, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0007:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=0, tm_min=4, tm_sec=16, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0007:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=0, tm_min=4, tm_sec=42, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0007:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=1, tm_min=14, tm_sec=31, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0006:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=1, tm_min=14, tm_sec=57, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0006:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=1, tm_min=15, tm_sec=23, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0006:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=2, tm_min=25, tm_sec=22, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0006:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=2, tm_min=25, tm_sec=48, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0006:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=2, tm_min=26, tm_sec=13, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0004:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=3, tm_min=35, tm_sec=45, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0004:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=3, tm_min=36, tm_sec=10, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0004:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=3, tm_min=36, tm_sec=36, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=4, tm_min=46, tm_sec=20, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=4, tm_min=46, tm_sec=45, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=4, tm_min=47, tm_sec=11, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0003:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=5, tm_min=56, tm_sec=58, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=5, tm_min=57, tm_sec=24, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=5, tm_min=57, tm_sec=50, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0003:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=7, tm_min=7, tm_sec=42, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=7, tm_min=8, tm_sec=8, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=7, tm_min=8, tm_sec=34, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=8, tm_min=18, tm_sec=26, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=8, tm_min=18, tm_sec=51, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=8, tm_min=19, tm_sec=17, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0001:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=9, tm_min=28, tm_sec=58, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0001:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=9, tm_min=29, tm_sec=24, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0001:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=9, tm_min=29, tm_sec=49, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0001:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=10, tm_min=39, tm_sec=45, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0001:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=10, tm_min=40, tm_sec=10, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0001:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=10, tm_min=40, tm_sec=36, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=11, tm_min=50, tm_sec=32, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=11, tm_min=50, tm_sec=58, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=11, tm_min=51, tm_sec=23, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0004:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=13, tm_min=0, tm_sec=56, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0005:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=13, tm_min=1, tm_sec=21, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0004:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=13, tm_min=1, tm_sec=47, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=14, tm_min=11, tm_sec=28, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=14, tm_min=11, tm_sec=54, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0009:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=14, tm_min=12, tm_sec=19, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0012:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=15, tm_min=22, tm_sec=13, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0012:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=15, tm_min=22, tm_sec=39, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0012:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=15, tm_min=23, tm_sec=4, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0014:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=16, tm_min=32, tm_sec=32, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0014:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=16, tm_min=32, tm_sec=58, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0014:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=16, tm_min=33, tm_sec=24, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0018:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=17, tm_min=43, tm_sec=1, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0018:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=17, tm_min=43, tm_sec=27, tm_wday=6, tm_yday=168, tm_isdst=1) 
water_chempseed: 	 -0.0017:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=16, tm_hour=17, tm_min=43, tm_sec=52, tm_wday=6, tm_yday=168, tm_isdst=1) 
